边 : 卖 0 | 迷 1 | 亮 2 | 屋 3 | 盖 4 | 衣 5 | 举 6 | 昌 7 | 房 8 | 患 9 | 癌 10 | 症 11 | 瓜 12 | 伤 13 | 净 14 | 池 15 | 冒 16 | 伸 17 | 征 18 | 腾 19 | 
雒 : 毖 0 | 鄯 1 | 啭 2 | 蕨 3 | 阚 4 | 婕 5 | 倭 6 | 幔 7 | 绂 8 | 镣 9 | 铳 10 | 仨 11 | 崂 12 | 棰 13 | 腱 14 | 胪 15 | 薮 16 | 佞 17 | 嫡 18 | 鲱 19 | 

ｊ : 恽 0 | 煸 1 | 芡 2 | 鼾 3 | 噎 4 | 沏 5 | 鳏 6 | 慵 7 | 瓤 8 | 缳 9 | 酰 10 | 嗨 11 | 蜃 12 | 蚨 13 | 菽 14 | 敕 15 | 渌 16 | 裟 17 | 铳 18 | 蘖 19 | 

锨 : 肽 0 | 胱 1 | 鲟 2 | 辊 3 | 饯 4 | 拗 5 | 悯 6 | 戕 7 | 酪 8 | 矾 9 | 磬 10 | 唏 11 | 芥 12 | 龛 13 | 犟 14 | 仟 15 | 谕 16 | 菪 17 | 桅 18 | 浣 19 | 

湾 : 击 0 | 邦 1 | 跃 2 | 洁 3 | 湾 4 | 煌 5 | 束 6 | 赠 7 | 谊 8 | 视 9 | 萄 10 | 汛 11 | 润 12 | 径 13 | 拔 14 | 洋 15 | 睛 16 | 判 17 | 刷 18 | 帜 19 | 

欢 : 福 0 | 歌 1 | 宝 2 | 灵 3 | 死 4 | 沙 5 | 戏 6 | 塑 7 | 暴 8 | 伟 9 | 气 10 | 甲 11 | 灌 12 | 皮 13 | 土 14 | 袭 15 | 铁 16 | 菲 17 | 野 18 | 驾 19 | 

于 : 过 0 | 送 1 | 胜 2 | 镇 3 | 家 4 | 大 5 | 赛 6 | 获 7 | 对 8 | 留 9 | 星 10 | 房 11 | 东 12 | 亮 13 | 于 14 | 写 15 | 型 16 | 岛 17 | 弃 18 | 赴 19 | 

方 : 事 0 | 灾 1 | 通 2 | 利 3 | 市 4 | 税 5 | 调 6 | 高 7 | 现 8 | 任 9 | 救 10 | 兴 11 | 大 12 | 身 13 | 债 14 | 卫 15 | 谈 16 | 程 17 | 商 18 | 土 19 | 

他 : 就 0 | 获 1 | 由 2 | 曾 3 | 此 4 | 抓 5 | 以 6 | 找 7 | 短 8 | 得 9 | 你 10 | 近 11 | 求 12 | 只 13 | 落 14 | 予 15 | 他 16 | 升 17 | 今 18 | 已 19 | 

开 : 方 0 | 成 1 | 谈 2 | 支 3 | 时 4 | 事 5 | 各 6 | 调 7 | 市 8 | 目 9 | 特 10 | 救 11 | 感 12 | 课 13 | 创 14 | 语 15 | 软 16 | 发 17 | 之 18 | 约 19 | 

筢 : 甭 0 | 靛 1 | 汴 2 | 笪 3 | 怏 4 | 妓 5 | 隽 6 | 箴 7 | 圪 8 | 诋 9 | 摈 10 | 钒 11 | 莒 12 | 氦 13 | 腼 14 | 犟 15 | 仟 16 | 卤 17 | 邕 18 | → 19 | 

悯 : 琨 0 | 燧 1 | 赓 2 | 硼 3 | 耒 4 | 隽 5 | 狞 6 | 窿 7 | 怏 8 | 峁 9 | 卤 10 | 噜 11 | 胤 12 | 耆 13 | 圪 14 | 珲 15 | 靛 16 | → 17 | 脓 18 | 耙 19 | 

脲 : 阉 0 | 遛 1 | 祜 2 | 纰 3 | 夼 4 | 麾 5 | 诏 6 | 晌 7 | 锑 8 | 旌 9 | 碓 10 | 怂 11 | 琏 12 | 朊 13 | 嗲 14 | 芊 15 | 嗽 16 | 翊 17 | 簪 18 | 唉 19 | 

伸 : 仗 0 | 烂 1 | 锡 2 | 冈 3 | 译 4 | 绳 5 | 瓜 6 | 潭 7 | 佩 8 | 颂 9 | 症 10 | 虐 11 | 穴 12 | 肤 13 | 菊 14 | 艇 15 | 醉 16 | 茵 17 | 撼 18 | 秆 19 | 

耶 : 柳 0 | 霍 1 | 汤 2 | 乔 3 | 廖 4 | 夹 5 | 披 6 | 颜 7 | 钻 8 | 滑 9 | 抛 10 | 柴 11 | 圣 12 | 芬 13 | 魏 14 | 畜 15 | 灿 16 | 茶 17 | 飘 18 | 湘 19 | 

隔 : 稍 0 | 填 1 | 砍 2 | 闯 3 | 嘴 4 | 漂 5 | 劝 6 | 隔 7 | 挣 8 | 惨 9 | 拘 10 | 凶 11 | 挫 12 | 描 13 | 苍 14 | 攀 15 | 饥 16 | 弄 17 | 悠 18 | 眉 19 | 

尾 : 尾 0 | 冻 1 | 闲 2 | 暗 3 | 拳 4 | 恒 5 | 桌 6 | 梯 7 | 烦 8 | 肝 9 | 滔 10 | 柔 11 | 淡 12 | 伸 13 | 谱 14 | 酿 15 | 猫 16 | 净 17 | 稀 18 | 腾 19 | 

弟 : 池 0 | 佩 1 | 盖 2 | 炎 3 | 旋 4 | 娜 5 | 癌 6 | 杉 7 | 瓜 8 | 冈 9 | 烂 10 | 症 11 | 溪 12 | 艇 13 | 迷 14 | 朴 15 | 霞 16 | 菌 17 | 屋 18 | 凤 19 | 

惯 : 净 0 | 浸 1 | 募 2 | 淡 3 | 稀 4 | 垂 5 | 插 6 | 伸 7 | 漏 8 | 冻 9 | 腾 10 | 欠 11 | 柔 12 | 幻 13 | 闲 14 | 暗 15 | 柴 16 | 凶 17 | 铺 18 | 嫁 19 | 

桑 : 癌 0 | 迷 1 | 腾 2 | 凤 3 | 默 4 | 炎 5 | 捕 6 | 瓜 7 | 梯 8 | 溪 9 | 桌 10 | 伸 11 | 朴 12 | 漏 13 | 冈 14 | 杉 15 | 霞 16 | 菌 17 | 虹 18 | 艇 19 | 

纂 : 晖 0 | 斥 1 | 隙 2 | 冕 3 | 痪 4 | 雀 5 | 啸 6 | 纂 7 | 帘 8 | 恋 9 | 咐 10 | 渣 11 | 仑 12 | 椎 13 | 浊 14 | 崖 15 | 觅 16 | 碟 17 | 芽 18 | 莓 19 | 

侃 : 琐 0 | 骋 1 | 贼 2 | 侃 3 | 诀 4 | 凰 5 | 殉 6 | 剔 7 | 锚 8 | 秃 9 | 茜 10 | 斩 11 | 壑 12 | 贱 13 | 腕 14 | 葆 15 | 吵 16 | 撬 17 | 惶 18 | 弓 19 | 

俺 : 拎 0 | 殃 1 | 炫 2 | 抠 3 | 屁 4 | 弧 5 | 榕 6 | 姬 7 | 赊 8 | 雌 9 | 匀 10 | 嗜 11 | 喃 12 | 瀛 13 | 岌 14 | 侍 15 | 啼 16 | 囿 17 | 虔 18 | 祁 19 | 

撷 : 唏 0 | 荥 1 | 龛 2 | 颍 3 | 碣 4 | 酪 5 | 仟 6 | 矾 7 | 拗 8 | 踉 9 | 莨 10 | 昱 11 | 氦 12 | 麒 13 | 靓 14 | 拈 15 | 笪 16 | 筵 17 | 勐 18 | 亳 19 | 

骐 : 隍 0 | 蕃 1 | 嗷 2 | 唉 3 | 渑 4 | 舔 5 | 钕 6 | 噌 7 | 遛 8 | 阉 9 | 纰 10 | 邗 11 | 湄 12 | 晌 13 | 邈 14 | 夼 15 | 鲢 16 | 茭 17 | 晟 18 | 藁 19 | 

绂 : 邗 0 | 鲲 1 | 娲 2 | 骁 3 | 茭 4 | 谤 5 | 晌 6 | 诏 7 | 崮 8 | 葳 9 | 橇 10 | 翊 11 | 碓 12 | 焖 13 | 怂 14 | 勰 15 | 颍 16 | 醚 17 | 孑 18 | 铣 19 | 

糌 : 阄 0 | 魇 1 | 蜃 2 | 菽 3 | 艮 4 | 蚤 5 | 酰 6 | 敕 7 | 鲇 8 | 筠 9 | 蹇 10 | 裟 11 | 诘 12 | 沏 13 | 慵 14 | 椴 15 | 杲 16 | 瓤 17 | 煸 18 | 琰 19 | 

返 : 伸 0 | 欠 1 | 烦 2 | 酿 3 | 腾 4 | 冻 5 | 稀 6 | 滔 7 | 淡 8 | 码 9 | 迷 10 | 柔 11 | 恋 12 | 抱 13 | 翼 14 | 斥 15 | 梯 16 | 恒 17 | 醉 18 | 饿 19 | 

估 : 抱 0 | 扣 1 | 聘 2 | 贴 3 | 欠 4 | 忧 5 | 隔 6 | 痛 7 | 屈 8 | 爸 9 | 烦 10 | 茫 11 | 缔 12 | 赚 13 | 稀 14 | 码 15 | 冻 16 | 衷 17 | 涨 18 | 酿 19 | 

驹 : 姹 0 | 圄 1 | 鲈 2 | 匍 3 | 醚 4 | 葳 5 | 橇 6 | 啾 7 | 勰 8 | 躏 9 | 恿 10 | 芊 11 | 诽 12 | 焖 13 | 嗔 14 | 孑 15 | 朊 16 | 奂 17 | 幛 18 | 苕 19 | 

润 : 译 0 | 醉 1 | 伸 2 | 烂 3 | 绳 4 | 锡 5 | 踪 6 | 欠 7 | 酿 8 | 艇 9 | 恋 10 | 症 11 | 翼 12 | 烦 13 | 臂 14 | 斥 15 | 虐 16 | 茵 17 | 瓜 18 | 穴 19 | 

粱 : 弧 0 | 炫 1 | 雌 2 | 姬 3 | 赊 4 | 殃 5 | 抠 6 | 榕 7 | 趴 8 | 粽 9 | 瀛 10 | 嗜 11 | 蝗 12 | 伶 13 | 喃 14 | 诙 15 | 屁 16 | 啼 17 | 瞪 18 | 侍 19 | 

岌 : 摹 0 | 檀 1 | 瑜 2 | 殃 3 | 茧 4 | 屁 5 | 搂 6 | 莺 7 | 胺 8 | 篓 9 | 驴 10 | 庵 11 | 疤 12 | 毙 13 | 泗 14 | 喃 15 | 溅 16 | 炙 17 | 钵 18 | 珑 19 | 

骋 : 泗 0 | 驴 1 | 薹 2 | 钵 3 | 漉 4 | 虏 5 | 胺 6 | 兀 7 | 瑜 8 | 茧 9 | 莺 10 | 搂 11 | 篓 12 | 珑 13 | 庵 14 | 摹 15 | 毙 16 | 檀 17 | 毡 18 | 婷 19 | 

扰 : 腾 0 | 迷 1 | 梯 2 | 菌 3 | 烦 4 | 冻 5 | 颂 6 | 酿 7 | 欠 8 | 艇 9 | 症 10 | 桌 11 | 滔 12 | 虐 13 | 溪 14 | 柔 15 | 瓜 16 | 锡 17 | 淡 18 | 勋 19 | 

攒 : 侃 0 | 仑 1 | 腕 2 | 椎 3 | 拢 4 | 涡 5 | 凰 6 | 剔 7 | 佣 8 | 稚 9 | 葆 10 | 骋 11 | 抖 12 | 壶 13 | 佑 14 | 灶 15 | 炯 16 | 罩 17 | 毯 18 | 贼 19 | 

忧 : 冻 0 | 烦 1 | 淡 2 | 柔 3 | 稀 4 | 恒 5 | 欠 6 | 酿 7 | 暗 8 | 滔 9 | 码 10 | 谱 11 | 闲 12 | 拳 13 | 蕴 14 | 垂 15 | 幻 16 | 猫 17 | 桌 18 | 梯 19 | 

墨 : 拳 0 | 昭 1 | 闲 2 | 暗 3 | 畜 4 | 滴 5 | 肆 6 | 帽 7 | 屯 8 | 斑 9 | 夹 10 | 欲 11 | 洽 12 | 吞 13 | 仙 14 | 赣 15 | 垂 16 | 逊 17 | 眉 18 | 柯 19 | 

榻 : 颤 0 | 瞒 1 | 凿 2 | 惶 3 | 猴 4 | 氮 5 | 捏 6 | 氨 7 | 熬 8 | 钉 9 | 溶 10 | 吵 11 | 绥 12 | 蜡 13 | 咋 14 | 拣 15 | 耸 16 | 贼 17 | 厌 18 | 耿 19 | 

姨 : 掷 0 | 壑 1 | 穹 2 | 剔 3 | 匡 4 | 仕 5 | 贻 6 | 酶 7 | 岔 8 | 坞 9 | 疤 10 | 哇 11 | 钮 12 | 殴 13 | 虞 14 | 臃 15 | 榴 16 | 蠢 17 | 檀 18 | 跤 19 | 

旬 : 勤 0 | 缔 1 | 衷 2 | 写 3 | 懂 4 | 升 5 | 扣 6 | 畏 7 | 弄 8 | 忧 9 | 盼 10 | 皇 11 | 凭 12 | 隔 13 | 磨 14 | 幸 15 | 屈 16 | 夕 17 | 季 18 | 阵 19 | 

勉 : 砸 0 | 聪 1 | 屯 2 | 铅 3 | 喀 4 | 绥 5 | 歪 6 | 鬼 7 | 臭 8 | 桔 9 | 虾 10 | 哗 11 | 叠 12 | 萎 13 | 抒 14 | 抄 15 | 肾 16 | 铝 17 | 颤 18 | 蜜 19 | 

雾 : 擦 0 | 藤 1 | 翠 2 | 蜜 3 | 柔 4 | 猫 5 | 吟 6 | 蜂 7 | 卵 8 | 裤 9 | 粪 10 | 兔 11 | 瑰 12 | 叠 13 | 冀 14 | 虾 15 | 桔 16 | 吓 17 | 缠 18 | 扯 19 | 

壶 : 壶 0 | 凰 1 | 佑 2 | 诀 3 | 凳 4 | 腕 5 | 铮 6 | 岱 7 | 骋 8 | 剔 9 | 溶 10 | 琢 11 | 涡 12 | 兽 13 | 秃 14 | 椎 15 | 烫 16 | 罩 17 | 兔 18 | 氮 19 | 

洽 : 咬 0 | 砍 1 | 拘 2 | 聪 3 | 躺 4 | 抒 5 | 谱 6 | 喀 7 | 饥 8 | 臭 9 | 仔 10 | 嫁 11 | 肌 12 | 拳 13 | 谦 14 | 狼 15 | 眉 16 | 萎 17 | 歪 18 | 柔 19 | 

鹅 : 溶 0 | 氮 1 | 铮 2 | 熬 3 | 磷 4 | 贼 5 | 翩 6 | 烫 7 | 惶 8 | 斩 9 | 坍 10 | 诀 11 | 猴 12 | 钮 13 | 峭 14 | 吵 15 | 凰 16 | 耿 17 | 颤 18 | 吟 19 | 

筝 : 虏 0 | 毙 1 | 胺 2 | 漉 3 | 茧 4 | 驴 5 | 檀 6 | 毡 7 | 薹 8 | 莺 9 | 瑜 10 | 兀 11 | 殃 12 | 钵 13 | 庵 14 | 篓 15 | 痰 16 | 珑 17 | 狸 18 | 嘘 19 | 

佣 : 骋 0 | 贱 1 | 锚 2 | 壑 3 | 佣 4 | 溅 5 | 哉 6 | 穹 7 | 葆 8 | 撬 9 | 殉 10 | 凰 11 | 腕 12 | 哮 13 | 剔 14 | 亢 15 | 瑜 16 | 掷 17 | 弓 18 | 坞 19 | 

啼 : 啼 0 | 翘 1 | 祁 2 | 刨 3 | 虔 4 | 矫 5 | 捎 6 | 酥 7 | 猿 8 | 沁 9 | 恬 10 | 蚌 11 | 侄 12 | 炕 13 | 梧 14 | 侮 15 | 凛 16 | 泸 17 | 颐 18 | 琉 19 | 

迤 : 丐 0 | 鹜 1 | 葩 2 | 轶 3 | 宓 4 | 嵘 5 | 诧 6 | 罔 7 | 淇 8 | 徨 9 | 屉 10 | 熹 11 | 盹 12 | 炖 13 | 觞 14 | 腆 15 | 匣 16 | 燮 17 | 簌 18 | 赳 19 | 

洮 : 砟 0 | 蜃 1 | 蹩 2 | 腋 3 | 鲇 4 | 蚨 5 | 筠 6 | 啜 7 | 诘 8 | 椴 9 | 滢 10 | 噎 11 | 阄 12 | 磙 13 | 碓 14 | 沏 15 | 簪 16 | 嗤 17 | 嗲 18 | 菽 19 | 

④ : 嗤 0 | 滓 1 | 簪 2 | 荚 3 | 滢 4 | 磙 5 | 祜 6 | 琏 7 | 嗽 8 | 碓 9 | 纰 10 | 嗲 11 | 夼 12 | 躏 13 | 麾 14 | 旌 15 | 遛 16 | 焖 17 | 阉 18 | 钕 19 | 

衔 : 斥 0 | 拾 1 | 烦 2 | 恋 3 | 酿 4 | 臂 5 | 醉 6 | 饿 7 | 吓 8 | 恨 9 | 薪 10 | 浊 11 | 抄 12 | 颂 13 | 愁 14 | 肤 15 | 藤 16 | 雾 17 | 猫 18 | 灶 19 | 

雇 : 楷 0 | 稽 1 | 幢 2 | 琛 3 | 铢 4 | 哲 5 | 彷 6 | 骤 7 | 猕 8 | 烨 9 | 浒 10 | 峥 11 | 魏 12 | 猥 13 | 郜 14 | 聩 15 | 貂 16 | 噜 17 | 截 18 | 淇 19 | 

侦 : 嘴 0 | 闯 1 | 砍 2 | 谐 3 | 雇 4 | 躺 5 | 挫 6 | 描 7 | 拘 8 | 臭 9 | 凶 10 | 逆 11 | 框 12 | 赣 13 | 肌 14 | 劝 15 | 咸 16 | 酝 17 | 辐 18 | 沾 19 | 

幢 : 啥 0 | 屈 1 | 昔 2 | 俺 3 | 勉 4 | 沪 5 | 渝 6 | 雇 7 | 缔 8 | 劝 9 | 愁 10 | 磨 11 | 竣 12 | 蕴 13 | 盼 14 | 隔 15 | 恒 16 | 刹 17 | 赚 18 | 遂 19 | 

锚 : 仕 0 | 挟 1 | 祠 2 | 岔 3 | 澎 4 | 贻 5 | 蠢 6 | 峭 7 | 匀 8 | 匡 9 | 酥 10 | 锄 11 | 矫 12 | 刨 13 | 斩 14 | 臃 15 | 拴 16 | 哇 17 | 疤 18 | 氯 19 | 

驿 : 庵 0 | 殃 1 | 瑜 2 | 瀛 3 | 篓 4 | 侍 5 | 檀 6 | 钵 7 | 岔 8 | 莺 9 | 祠 10 | 喃 11 | 屁 12 | 仕 13 | 弓 14 | 茧 15 | 瞪 16 | 毙 17 | 搂 18 | 榕 19 | 

柑 : 嗜 0 | 琉 1 | 蚌 2 | 赊 3 | 咆 4 | 赡 5 | 雌 6 | 伶 7 | 诙 8 | 炫 9 | 虔 10 | 榕 11 | 汩 12 | 侮 13 | 祁 14 | 姬 15 | 酥 16 | 郴 17 | 拄 18 | 趴 19 | 

铱 : 侍 0 | 殃 1 | 屁 2 | 弓 3 | 喃 4 | 仕 5 | 祠 6 | 岔 7 | 檀 8 | 岌 9 | 瑜 10 | 瀛 11 | 榕 12 | 翘 13 | 庵 14 | 瞪 15 | 毙 16 | 蠢 17 | 抠 18 | 姬 19 | 

焰 : 浊 0 | 雀 1 | 裹 2 | 吓 3 | 拾 4 | 涡 5 | 藤 6 | 拢 7 | 瑟 8 | 灶 9 | 罩 10 | 衫 11 | 恨 12 | 毯 13 | 隙 14 | 奸 15 | 粪 16 | 吟 17 | 抖 18 | 裤 19 | 

肌 : 歪 0 | 铝 1 | 铅 2 | 肾 3 | 桔 4 | 牟 5 | 溜 6 | 樱 7 | 萎 8 | 俯 9 | 哗 10 | 肌 11 | 邵 12 | 叠 13 | 绥 14 | 屯 15 | 熏 16 | 栖 17 | 臭 18 | 扯 19 | 

绑 : 灶 0 | 吓 1 | 恨 2 | 兔 3 | 蜜 4 | 罩 5 | 虾 6 | 抖 7 | 浊 8 | 抄 9 | 杠 10 | 粪 11 | 兽 12 | 猫 13 | 吟 14 | 雀 15 | 毯 16 | 裤 17 | 藤 18 | 扯 19 | 

稚 : 拢 0 | 仑 1 | 涡 2 | 毯 3 | 椎 4 | 腕 5 | 稚 6 | 抖 7 | 灶 8 | 葆 9 | 罩 10 | 浊 11 | 雀 12 | 佣 13 | 炯 14 | 剔 15 | 凰 16 | 吓 17 | 杠 18 | 瑟 19 | 

气 : 歌 0 | 牛 1 | 皮 2 | 土 3 | 舞 4 | 野 5 | 麦 6 | 图 7 | 杰 8 | 桑 9 | 洛 10 | 浩 11 | 气 12 | 苏 13 | 雪 14 | 死 15 | 客 16 | 灯 17 | 铁 18 | 彩 19 | 

渣 : 渣 0 | 裹 1 | 衫 2 | 秆 3 | 潭 4 | 浊 5 | 痪 6 | 崖 7 | 虐 8 | 藤 9 | 苑 10 | 罩 11 | 禹 12 | 匙 13 | 萃 14 | 劾 15 | 穴 16 | 冕 17 | 肤 18 | 毯 19 | 

褡 : 滢 0 | 嗲 1 | 鲇 2 | 蹩 3 | 旌 4 | 诘 5 | 碓 6 | 磙 7 | 祢 8 | 酩 9 | 镉 10 | 蜃 11 | 沏 12 | 苕 13 | 敕 14 | 琏 15 | 鳅 16 | 簪 17 | 椴 18 | 夼 19 | 

升 : 欠 0 | 返 1 | 亮 2 | 痛 3 | 贴 4 | 卷 5 | 扣 6 | 弃 7 | 勤 8 | 迷 9 | 码 10 | 写 11 | 珠 12 | 淡 13 | 词 14 | 稀 15 | 皇 16 | 聘 17 | 旁 18 | 患 19 | 

卵 : 铅 0 | 钉 1 | 厌 2 | 桔 3 | 虾 4 | 扯 5 | 冤 6 | 叠 7 | 溜 8 | 抹 9 | 瞒 10 | 哗 11 | 绥 12 | 晃 13 | 肾 14 | 铝 15 | 樱 16 | 抄 17 | 牟 18 | 鬼 19 | 

予 : 跃 0 | 判 1 | 拔 2 | 洁 3 | 蓄 4 | 润 5 | 御 6 | 煌 7 | 扰 8 | 疾 9 | 视 10 | 萄 11 | 邦 12 | 径 13 | 慨 14 | 刷 15 | 偿 16 | 旨 17 | 值 18 | 徒 19 | 

屯 : 恨 0 | 抄 1 | 扯 2 | 晃 3 | 吓 4 | 叠 5 | 虾 6 | 鬼 7 | 粪 8 | 钉 9 | 抹 10 | 抖 11 | 杠 12 | 凿 13 | 熬 14 | 桔 15 | 刹 16 | 蜜 17 | 哗 18 | 兔 19 | 

候 : 拔 0 | 判 1 | 赛 2 | 扰 3 | 慨 4 | 偿 5 | 蓄 6 | 式 7 | 线 8 | 耗 9 | 身 10 | 御 11 | 叹 12 | 景 13 | 徒 14 | 议 15 | 醒 16 | 洁 17 | 邦 18 | 疑 19 | 

