<unk>591 : 卖 0 | 迷 1 | 亮 2 | 
<unk>1,500 : 拳 0 | 昭 1 | 闲 2 | 

<unk>2,814 : 颤 0 | 瞒 1 | 凿 2 | 

<unk>2,817 : 掷 0 | 壑 1 | 穹 2 | 

<unk>1,503 : 勤 0 | 缔 1 | 衷 2 | 

<unk>2,217 : 砸 0 | 聪 1 | 屯 2 | 

<unk>2,214 : 擦 0 | 藤 1 | 翠 2 | 

<unk>2,745 : 壶 0 | 凰 1 | 佑 2 | 

<unk>2,211 : 咬 0 | 砍 1 | 拘 2 | 

<unk>2,748 : 溶 0 | 氮 1 | 铮 2 | 

<unk>3,201 : 虏 0 | 毙 1 | 胺 2 | 

<unk>3,204 : 骋 0 | 贱 1 | 锚 2 | 

<unk>3,207 : 啼 0 | 翘 1 | 祁 2 | 

<unk>3,684 : 丐 0 | 鹜 1 | 葩 2 | 

<unk>3,687 : 砟 0 | 蜃 1 | 蹩 2 | 

<unk>3,681 : 嗤 0 | 滓 1 | 簪 2 | 

<unk>2,109 : 斥 0 | 拾 1 | 烦 2 | 

<unk>2,103 : 稽 0 | 幢 1 | 琛 2 | 

<unk>2,100 : 嘴 0 | 闯 1 | 砍 2 | 

<unk>2,106 : 啥 0 | 屈 1 | 昔 2 | 

<unk>3,336 : 仕 0 | 挟 1 | 祠 2 | 

<unk>3,330 : 庵 0 | 殃 1 | 瑜 2 | 

<unk>3,333 : 嗜 0 | 琉 1 | 蚌 2 | 

<unk>3,339 : 侍 0 | 殃 1 | 屁 2 | 

<unk>2,586 : 浊 0 | 雀 1 | 裹 2 | 

<unk>2,583 : 歪 0 | 铝 1 | 铅 2 | 

<unk>2,580 : 灶 0 | 吓 1 | 恨 2 | 

<unk>2,589 : 拢 0 | 仑 1 | 涡 2 | 

<unk>402 : 歌 0 | 牛 1 | 皮 2 | 

<unk>2,391 : 渣 0 | 裹 1 | 衫 2 | 

<unk>4,674 : 滢 0 | 嗲 1 | 鲇 2 | 

<unk>768 : 欠 0 | 返 1 | 亮 2 | 

<unk>2,367 : 铅 0 | 钉 1 | 厌 2 | 

<unk>765 : 跃 0 | 判 1 | 拔 2 | 

<unk>2,364 : 恨 0 | 抄 1 | 扯 2 | 

<unk>762 : 拔 0 | 判 1 | 赛 2 | 

<unk>2,361 : 聪 0 | 喀 1 | 抒 2 | 

<unk>2,568 : 吓 0 | 晃 1 | 兔 2 | 

<unk>4,086 : 耒 0 | 赓 1 | 隽 2 | 

<unk>4,080 : 撷 0 | 珲 1 | 狞 2 | 

<unk>4,083 : 窿 0 | 楣 1 | 赓 2 | 

<unk>2,562 : 厌 0 | 钉 1 | 抒 2 | 

<unk>2,565 : 瑟 0 | 苑 1 | 劾 2 | 

<unk>4,089 : 釜 0 | 珞 1 | 攥 2 | 

<unk>3,021 : 贼 0 | 吵 1 | 惶 2 | 

<unk>507 : 恢 0 | 农 1 | 垃 2 | 

<unk>3,024 : 翘 0 | 炕 1 | 弓 2 | 

<unk>3,027 : 赊 0 | 雌 1 | 炫 2 | 

<unk>168 : 连 0 | 时 1 | 减 2 | 

<unk>2,136 : 圄 0 | 鲈 1 | 唆 2 | 

<unk>162 : 送 0 | 市 1 | 土 2 | 

<unk>165 : 空 0 | 城 1 | 黑 2 | 

<unk>582 : 血 0 | 桑 1 | 麦 2 | 

<unk>585 : 抓 0 | 找 1 | 谁 2 | 

<unk>588 : 宝 0 | 牛 1 | 杰 2 | 

<unk>18 : 禁 0 | 阵 1 | 故 2 | 

<unk>612 : 沙 0 | 热 1 | 铁 2 | 

<unk>342 : 微 0 | 歌 1 | 抵 2 | 

<unk>345 : 形 0 | 支 1 | 发 2 | 

<unk>615 : 邦 0 | 视 1 | 湾 2 | 

<unk>348 : 找 0 | 曾 1 | 短 2 | 

<unk>618 : 独 0 | 转 1 | 压 2 | 

<unk>4,158 : 卤 0 | 觞 1 | 硼 2 | 

<unk>3,183 : 漩 0 | 霓 1 | 柑 2 | 

<unk>4,152 : 粕 0 | 愕 1 | 丐 2 | 

<unk>3,180 : 弓 0 | 殉 1 | 撬 2 | 

<unk>4,155 : 饯 0 | 犟 1 | 鲟 2 | 

<unk>12 : 于 0 | 要 1 | 以 2 | 

<unk>297 : 通 0 | 市 1 | 土 2 | 

<unk>3,186 : 蝗 0 | 趴 1 | 蛀 2 | 

<unk>294 : 转 0 | 补 1 | 回 2 | 

<unk>291 : 身 0 | 议 1 | 景 2 | 

<unk>4,236 : 圪 0 | 靛 1 | 怏 2 | 

<unk>3,534 : 毙 0 | 岌 1 | 瑜 2 | 

<unk>4,233 : 赳 0 | 羹 1 | 胤 2 | 

<unk>4,230 : 孽 0 | 糅 1 | 楣 2 | 

<unk>15 : 胜 0 | 志 1 | 驻 2 | 

<unk>4,239 : 箴 0 | 靛 1 | 汴 2 | 

<unk>906 : 谊 0 | 束 1 | 润 2 | 

<unk>3,189 : 瑜 0 | 岌 1 | 仕 2 | 

<unk>903 : 煌 0 | 洁 1 | 束 2 | 

<unk>900 : 灵 0 | 甲 1 | 野 2 | 

<unk>909 : 润 0 | 蓄 1 | 刷 2 | 

<unk>4,521 : 晟 0 | 夼 1 | 娲 2 | 

<unk>4,527 : 腋 0 | 蹩 1 | 艮 2 | 

<unk>4,524 : 酰 0 | 魇 1 | 蚤 2 | 

<unk>831 : 印 0 | 遗 1 | 信 2 | 

<unk>837 : 觉 0 | 言 1 | 绍 2 | 

<unk>834 : 入 0 | 判 1 | 式 2 | 

<unk>78 : 市 0 | 调 1 | 带 2 | 

<unk>75 : 议 0 | 赛 1 | 出 2 | 

<unk>72 : 成 0 | 时 1 | 谈 2 | 

<unk>4,419 : 鄄 0 | 蕃 1 | 舔 2 | 

<unk>4,416 : 嗷 0 | 邈 1 | 纰 2 | 

<unk>1,641 : 崭 0 | 茫 1 | 邯 2 | 

<unk>4,413 : 酚 0 | 酗 1 | 烬 2 | 

<unk>1,644 : 迈 0 | 辅 1 | 硬 2 | 

<unk>2,958 : 壑 0 | 坞 1 | 酶 2 | 

<unk>1,428 : 揭 0 | 压 1 | 锻 2 | 

<unk>2,952 : 梳 0 | 沁 1 | 刁 2 | 

<unk>1,422 : 盖 0 | 屋 1 | 佩 2 | 

<unk>4,701 : 噌 0 | 洇 1 | 颍 2 | 

<unk>4,707 : 鄯 0 | 猗 1 | 绂 2 | 

<unk>4,704 : 滓 0 | 荚 1 | 簪 2 | 

<unk>3,522 : 铱 0 | 锲 1 | 蔼 2 | 

<unk>3,831 : 钠 0 | 镍 1 | 眩 2 | 

<unk>1,350 : 泡 0 | 塑 1 | 柏 2 | 

<unk>1,353 : 淡 0 | 稀 1 | 柔 2 | 

<unk>3,528 : 呻 0 | 洮 1 | 钺 2 | 

<unk>1,359 : 畴 0 | 袱 1 | 役 2 | 

<unk>1,296 : 凤 0 | 冒 1 | 皮 2 | 

<unk>1,512 : 烂 0 | 锡 1 | 冈 2 | 

<unk>2,829 : 凳 0 | 泵 1 | 侠 2 | 

<unk>1,515 : 柴 0 | 肝 1 | 拳 2 | 

<unk>2,826 : 柑 0 | 沁 1 | 蚊 2 | 

<unk>1,518 : 僚 0 | 畴 1 | 墓 2 | 

<unk>2,820 : 贱 0 | 茧 1 | 瑜 2 | 

<unk>2,823 : 忱 0 | 榻 1 | 擂 2 | 

<unk>2,775 : 佑 0 | 凰 1 | 涡 2 | 

<unk>3,786 : 汀 0 | 陨 1 | 瑕 2 | 

<unk>306 : 具 0 | 扩 1 | 恢 2 | 

<unk>3,780 : 笙 0 | 瑕 1 | 鳖 2 | 

<unk>1,560 : 详 0 | 孤 1 | 仿 2 | 

<unk>2,772 : 牟 0 | 捏 1 | 羞 2 | 

<unk>3,783 : 瑕 0 | 鳖 1 | 遒 2 | 

<unk>2,778 : 俯 0 | 绚 1 | 羞 2 | 

<unk>3,789 : 遒 0 | 镍 1 | 撮 2 | 

<unk>3,234 : 茧 0 | 藉 1 | 侣 2 | 

<unk>3,237 : 漉 0 | 擎 1 | 薹 2 | 

<unk>3,231 : 辗 0 | 恤 1 | 捎 2 | 

<unk>1,116 : 哲 0 | 稽 1 | 踊 2 | 

<unk>1,569 : 辅 0 | 拘 1 | 仔 2 | 

<unk>2,178 : 肌 0 | 臭 1 | 鞍 2 | 

<unk>2,175 : 砍 0 | 躺 1 | 劝 2 | 

<unk>2,172 : 雾 0 | 藤 1 | 拾 2 | 

<unk>4,539 : 鹦 0 | 缳 1 | 懑 2 | 

<unk>3,309 : 锲 0 | 蔼 1 | 铱 2 | 

<unk>3,300 : 崽 0 | 擎 1 | 褥 2 | 

<unk>3,651 : 蚂 0 | 徜 1 | 菏 2 | 

<unk>3,657 : 锨 0 | 娑 1 | 珞 2 | 

<unk>3,654 : 秭 0 | 涿 1 | 铿 2 | 

<unk>753 : 迷 0 | 屋 1 | 症 2 | 

<unk>750 : 拥 0 | 借 1 | 焦 2 | 

<unk>4,098 : 踉 0 | 颍 1 | 勐 2 | 

<unk>756 : 秋 0 | 勤 1 | 夏 2 | 

<unk>2,397 : 蜜 0 | 吟 1 | 桔 2 | 

<unk>2,394 : 钉 0 | 肾 1 | 溜 2 | 

<unk>4,092 : 钎 0 | 荤 1 | 漱 2 | 

<unk>759 : 舞 0 | 篮 1 | 麦 2 | 

<unk>4,095 : 燧 0 | → 1 | 珲 2 | 

<unk>2,001 : 逆 0 | 谐 1 | 闯 2 | 

<unk>2,007 : 闯 0 | 描 1 | 谐 2 | 

<unk>2,004 : 谱 0 | 臭 1 | 喀 2 | 

<unk>2,556 : 瞒 0 | 羞 1 | 蜡 2 | 

<unk>2,550 : 蜜 0 | 兔 1 | 哗 2 | 

<unk>2,553 : 墅 0 | 孵 1 | 窘 2 | 

<unk>3,018 : 吵 0 | 惶 1 | 炕 2 | 

<unk>3,015 : 凰 0 | 佣 1 | 壑 2 | 

<unk>3,012 : 梧 0 | 呐 1 | 懒 2 | 

<unk>114 : 留 0 | 付 1 | 现 2 | 

<unk>2,487 : 梏 0 | 戥 1 | 姹 2 | 

<unk>2,484 : 铝 0 | 肾 1 | 桔 2 | 

<unk>117 : 税 0 | 景 1 | 灾 2 | 

<unk>111 : 现 0 | 程 1 | 灾 2 | 

<unk>2,481 : 樱 0 | 羞 1 | 懒 2 | 

<unk>627 : 症 0 | 贺 1 | 弃 2 | 

<unk>336 : 萨 0 | 德 1 | 洪 2 | 

<unk>330 : 型 0 | 房 1 | 衣 2 | 

<unk>621 : 汛 0 | 赠 1 | 视 2 | 

<unk>339 : 软 0 | 创 1 | 压 2 | 

<unk>4,149 : 耙 0 | 罔 1 | 蹭 2 | 

<unk>3,897 : 辫 0 | 珞 1 | 攥 2 | 

<unk>4,140 : 撇 0 | 蹭 1 | 辫 2 | 

<unk>4,143 : 岫 0 | 孽 1 | 糅 2 | 

<unk>4,146 : 磙 0 | 祜 1 | 阉 2 | 

<unk>249 : 房 0 | 衣 1 | 彩 2 | 

<unk>939 : 野 0 | 皮 1 | 甲 2 | 

<unk>240 : 此 0 | 短 1 | 获 2 | 

<unk>933 : 屋 0 | 桥 1 | 桑 2 | 

<unk>930 : 压 0 | 甲 1 | 驾 2 | 

<unk>243 : 调 0 | 运 1 | 救 2 | 

<unk>936 : 畜 0 | 塑 1 | 甲 2 | 

<unk>246 : 付 0 | 功 1 | 赛 2 | 

<unk>4,557 : 蕨 0 | 啭 1 | 绂 2 | 

<unk>4,554 : 悯 0 | 鲟 1 | 芥 2 | 

<unk>4,551 : 儡 0 | 蚱 1 | 螂 2 | 

<unk>4,398 : 耆 0 | 怏 1 | 赓 2 | 

<unk>807 : 补 0 | 密 1 | 涨 2 | 

<unk>804 : 绍 0 | 息 1 | 言 2 | 

<unk>4,395 : 芥 0 | 菪 1 | 辊 2 | 

<unk>801 : 言 0 | 式 1 | 类 2 | 

<unk>48 : 灾 0 | 大 1 | 高 2 | 

<unk>42 : 获 0 | 对 1 | 以 2 | 

<unk>45 : 救 0 | 谈 1 | 利 2 | 

<unk>1,989 : 虹 0 | 藤 1 | 潭 2 | 

<unk>1,638 : 赚 0 | 昔 1 | 屈 2 | 

<unk>1,980 : 茵 0 | 泊 1 | 撼 2 | 

<unk>1,983 : 坑 0 | 柔 1 | 桌 2 | 

<unk>1,632 : 炎 0 | 冈 1 | 杉 2 | 

<unk>1,986 : 卵 0 | 屯 1 | 珊 2 | 

<unk>1,182 : 酿 0 | 卷 1 | 痛 2 | 

<unk>1,185 : 硬 0 | 浓 1 | 湘 2 | 

<unk>2,949 : 泸 0 | 捎 1 | 刨 2 | 

<unk>1,188 : 暂 0 | 寄 1 | 填 2 | 

<unk>2,946 : 涡 0 | 劾 1 | 毯 2 | 

<unk>2,943 : 惶 0 | 诀 1 | 猴 2 | 

<unk>2,940 : 隙 0 | 觅 1 | 咐 2 | 

<unk>4,776 : 蹩 0 | 蜃 1 | 沏 2 | 

<unk>1,743 : 霞 0 | 冈 1 | 梯 2 | 

<unk>1,740 : 漂 0 | 填 1 | 挫 2 | 

<unk>1,746 : 糖 0 | 漏 1 | 肝 2 | 

<unk>4,773 : 芡 0 | 蚨 1 | 噎 2 | 

<unk>4,770 : 纰 0 | 遛 1 | 邗 2 | 

<unk>1,749 : 惨 0 | 挣 1 | 劝 2 | 

<unk>4,779 : 踅 0 | 蒗 1 | 璎 2 | 

<unk>3,537 : 屁 0 | 岌 1 | 毙 2 | 

<unk>3,822 : 裳 0 | 淆 1 | 痫 2 | 

<unk>3,825 : 珞 0 | 攥 1 | 掖 2 | 

<unk>3,531 : 酶 0 | 仕 1 | 虞 2 | 

<unk>3,828 : 阙 0 | 臼 1 | 箫 2 | 

<unk>1,161 : 填 0 | 详 1 | 寄 2 | 

<unk>1,167 : 聘 0 | 衷 1 | 卷 2 | 

<unk>1,164 : 误 0 | 疑 1 | 付 2 | 

<unk>2,244 : 喧 0 | 斑 1 | 邵 2 | 

<unk>1,566 : 凶 0 | 插 1 | 闯 2 | 

<unk>2,832 : 唆 0 | 茭 1 | 醚 2 | 

<unk>4,608 : 蕃 0 | 渑 1 | 湄 2 | 

<unk>2,247 : 愤 0 | 萃 1 | 霖 2 | 

<unk>1,290 : 佳 0 | 封 1 | 笔 2 | 

<unk>1,563 : 插 0 | 柔 1 | 嫁 2 | 

<unk>2,835 : 钮 0 | 贻 1 | 恤 2 | 

<unk>1,293 : 泊 0 | 旋 1 | 暖 2 | 

<unk>4,602 : 渑 0 | 筵 1 | 唉 2 | 

<unk>3,762 : 怅 0 | 迤 1 | 娣 2 | 

<unk>2,838 : 坯 0 | 佣 1 | 腕 2 | 

<unk>1,299 : 铺 0 | 描 1 | 湘 2 | 

<unk>4,605 : 崮 0 | 翊 1 | 茭 2 | 

<unk>3,228 : 殃 0 | 祠 1 | 岔 2 | 

<unk>3,222 : 溅 0 | 撬 1 | 掷 2 | 

<unk>3,225 : 哮 0 | 溅 1 | 阂 2 | 

<unk>1,368 : 浸 0 | 漏 1 | 姐 2 | 

<unk>1,362 : 焦 0 | 锻 1 | 胸 2 | 

<unk>1,365 : 纲 0 | 钻 1 | 汤 2 | 

<unk>2,169 : 臭 0 | 赣 1 | 仔 2 | 

<unk>2,166 : 潭 0 | 秆 1 | 虐 2 | 

<unk>2,160 : 虐 0 | 颂 1 | 冈 2 | 

<unk>2,163 : 拘 0 | 仔 1 | 饥 2 | 

<unk>3,648 : 銮 0 | 恿 1 | 芊 2 | 

<unk>3,318 : 喃 0 | 炫 1 | 匀 2 | 

<unk>3,315 : 炕 0 | 喃 1 | 捎 2 | 

<unk>3,642 : 甙 0 | 喹 1 | 龉 2 | 

<unk>3,645 : 檀 0 | 胺 1 | 瀛 2 | 

<unk>3,312 : 驴 0 | 篓 1 | 莺 2 | 

<unk>2,769 : 罩 0 | 椎 1 | 涡 2 | 

<unk>3,798 : 掂 0 | 鳖 1 | 陨 2 | 

<unk>2,763 : 嗓 0 | 栖 1 | 蜡 2 | 

<unk>3,792 : 裘 0 | 梵 1 | 羌 2 | 

<unk>2,760 : 兔 0 | 兽 1 | 硫 2 | 

<unk>2,766 : 哗 0 | 磷 1 | 桔 2 | 

<unk>3,795 : 兀 0 | 裳 1 | 媲 2 | 

<unk>744 : 桥 0 | 杰 1 | 皮 2 | 

<unk>747 : 弃 0 | 疑 1 | 卷 2 | 

<unk>2,382 : 桔 0 | 肾 1 | 萎 2 | 

<unk>741 : 死 0 | 气 1 | 铁 2 | 

<unk>2,388 : 抒 0 | 喀 1 | 躺 2 | 

<unk>2,010 : 肤 0 | 梯 1 | 颂 2 | 

<unk>2,013 : 冈 0 | 纱 1 | 肤 2 | 

<unk>2,547 : 裹 0 | 痪 1 | 秆 2 | 

<unk>2,544 : 潇 0 | 朔 1 | 柑 2 | 

<unk>2,019 : 藤 0 | 柔 1 | 翠 2 | 

<unk>3,003 : 斩 0 | 峭 1 | 秃 2 | 

<unk>3,000 : 耿 0 | 凛 1 | 呐 2 | 

<unk>3,006 : 跤 0 | 髦 1 | 恤 2 | 

<unk>3,009 : 椎 0 | 佣 1 | 剔 2 | 

<unk>2,643 : 抄 0 | 抖 1 | 杠 2 | 

<unk>2,499 : 粪 0 | 奸 1 | 猫 2 | 

<unk>108 : 厂 0 | 土 1 | 胜 2 | 

<unk>105 : 赛 0 | 星 1 | 字 2 | 

<unk>2,496 : 杠 0 | 晃 1 | 扯 2 | 

<unk>102 : 志 0 | 商 1 | 点 2 | 

<unk>2,493 : 躺 0 | 肾 1 | 鞍 2 | 

<unk>639 : 冒 0 | 衣 1 | 客 2 | 

<unk>630 : 借 0 | 涨 1 | 抵 2 | 

<unk>633 : 式 0 | 望 1 | 乏 2 | 

<unk>636 : 患 0 | 漏 1 | 亮 2 | 

<unk>327 : 线 0 | 判 1 | 蓄 2 | 

<unk>324 : 线 0 | 蓄 1 | 判 2 | 

<unk>321 : 优 0 | 信 1 | 消 2 | 

<unk>4,179 : 赓 0 | 怏 1 | 隽 2 | 

<unk>4,176 : 怏 0 | 卤 1 | 妓 2 | 

<unk>4,170 : 咣 0 | 笪 1 | 酉 2 | 

<unk>4,173 : 铂 0 | 豌 1 | 佟 2 | 

<unk>258 : 土 0 | 军 1 | 客 2 | 

<unk>252 : 暴 0 | 塑 1 | 卫 2 | 

<unk>927 : 邮 0 | 抵 1 | 零 2 | 

<unk>921 : 皮 0 | 灯 1 | 牛 2 | 

<unk>255 : 景 0 | 购 1 | 星 2 | 

<unk>1,002 : 弟 0 | 耗 1 | 叹 2 | 

<unk>420 : 参 0 | 故 1 | 叫 2 | 

<unk>33 : 利 0 | 任 1 | 卫 2 | 

<unk>4,548 : 琊 0 | 晌 1 | 碓 2 | 

<unk>4,545 : 蘖 0 | 蹇 1 | 煸 2 | 

<unk>873 : 甲 0 | 庄 1 | 塑 2 | 

<unk>423 : 献 0 | 障 1 | 响 2 | 

<unk>4,542 : 敕 0 | 缳 1 | 酰 2 | 

<unk>57 : 门 0 | 程 1 | 民 2 | 

<unk>54 : 亮 0 | 约 1 | 返 2 | 

<unk>4,389 : 脓 0 | 糅 1 | 铂 2 | 

<unk>51 : 兴 0 | 卫 1 | 任 2 | 

<unk>819 : 侨 0 | 弹 1 | 兴 2 | 

<unk>4,386 : 镉 0 | 鲇 1 | 嗲 2 | 

<unk>4,383 : 靛 0 | 怏 1 | 汴 2 | 

<unk>2,541 : 衫 0 | 毯 1 | 苑 2 | 

<unk>4,380 : 漱 0 | 觞 1 | 孽 2 | 

<unk>39 : 部 0 | 程 1 | 门 2 | 

<unk>2,016 : 臂 0 | 拾 1 | 弦 2 | 

<unk>1,629 : 飘 0 | 狂 1 | 汤 2 | 

<unk>1,998 : 仔 0 | 躺 1 | 饥 2 | 

<unk>1,995 : 狼 0 | 萎 1 | 谦 2 | 

<unk>1,626 : 雕 0 | 娜 1 | 捕 2 | 

<unk>1,992 : 愁 0 | 孕 1 | 薪 2 | 

<unk>1,623 : 漏 0 | 闲 1 | 肝 2 | 

<unk>1,197 : 艇 0 | 返 1 | 翼 2 | 

<unk>1,194 : 醉 0 | 艇 1 | 耗 2 | 

<unk>1,191 : 汤 0 | 狂 1 | 湘 2 | 

<unk>4,764 : 麒 0 | 笪 1 | 莨 2 | 

<unk>4,767 : 祜 0 | 遛 1 | 诏 2 | 

<unk>1,752 : 肝 0 | 帽 1 | 拳 2 | 

<unk>4,761 : 嗨 0 | 缳 1 | 酰 2 | 

<unk>1,758 : 描 0 | 抛 1 | 狂 2 | 

<unk>1,179 : 跟 0 | 凭 1 | 肩 2 | 

<unk>3,816 : 亘 0 | 篝 1 | 惭 2 | 

<unk>3,810 : 隽 0 | 怏 1 | 卤 2 | 

<unk>3,813 : 掰 0 | 珞 1 | 箫 2 | 

<unk>2,502 : 罘 0 | 鹩 1 | 馗 2 | 

<unk>1,170 : 狂 0 | 芬 1 | 欲 2 | 

<unk>1,173 : 粗 0 | 抛 1 | 湘 2 | 

<unk>3,819 : 臼 0 | 掖 1 | 箫 2 | 

<unk>1,176 : 抛 0 | 胸 1 | 浓 2 | 

<unk>1,281 : 湘 0 | 寄 1 | 孤 2 | 

<unk>1,287 : 捕 0 | 朴 1 | 默 2 | 

<unk>1,284 : 攀 0 | 钻 1 | 肩 2 | 

<unk>1,575 : 柔 0 | 帽 1 | 拳 2 | 

<unk>2,847 : 腕 0 | 侠 1 | 佣 2 | 

<unk>2,844 : 熬 0 | 抖 1 | 凿 2 | 

<unk>1,572 : 纱 0 | 颂 1 | 朴 2 | 

<unk>4,611 : 旌 0 | 嗲 1 | 鲇 2 | 

<unk>4,614 : 觥 0 | 肼 1 | 暌 2 | 

<unk>4,617 : 蟥 0 | 琊 1 | 琏 2 | 

<unk>3,258 : 捎 0 | 喃 1 | 祁 2 | 

<unk>3,255 : 亢 0 | 坞 1 | 酶 2 | 

<unk>3,252 : 凛 0 | 刨 1 | 呐 2 | 

<unk>3,498 : 墒 0 | 迤 1 | 怅 2 | 

<unk>3,492 : 藩 0 | 剽 1 | 梵 2 | 

<unk>3,495 : 燮 0 | 熹 1 | 孢 2 | 

<unk>2,490 : 琢 0 | 耸 1 | 峙 2 | 

<unk>774 : 握 0 | 亲 1 | 渐 2 | 

<unk>1,377 : 娜 0 | 杉 1 | 桑 2 | 

<unk>1,374 : 颂 0 | 恒 1 | 闲 2 | 

<unk>1,371 : 朴 0 | 亭 1 | 颂 2 | 

<unk>2,622 : 熬 0 | 磷 1 | 猴 2 | 

<unk>2,151 : 灿 0 | 钓 1 | 夹 2 | 

<unk>2,154 : 挫 0 | 雇 1 | 赣 2 | 

<unk>2,157 : 披 0 | 夹 1 | 滴 2 | 

<unk>2,628 : 肾 0 | 溜 1 | 抹 2 | 

<unk>3,678 : 莺 0 | 炙 1 | 擎 2 | 

<unk>3,675 : 芋 0 | 芸 1 | 羌 2 | 

<unk>3,672 : 浣 0 | 荥 1 | 碣 2 | 

<unk>2,718 : 磷 0 | 琢 1 | 耸 2 | 

<unk>2,715 : 痪 0 | 媛 1 | 匙 2 | 

<unk>2,712 : 毯 0 | 剔 1 | 仑 2 | 

<unk>9 : 对 0 | 了 1 | 于 2 | 

<unk>2,535 : 冀 0 | 峙 1 | 沥 2 | 

<unk>2,532 : 糟 0 | 鸦 1 | 潇 2 | 

<unk>2,022 : 喀 0 | 鬼 1 | 谦 2 | 

